feature,importance
CADD_phred,213
dbNSFP_POPMAX_AF,129
MutationTaster_score_mean,129
gMVP_score_max,119
MutationTaster_score_max,117
BayesDel_addAF_score,103
MutationTaster_score_count,85
gnomAD4.1_joint_AF,85
phyloP470way_mammalian,84
phyloP100way_vertebrate,78
M-CAP_score,72
fathmm-XF_coding_score,70
gnomAD4.1_joint_POPMAX_AF,67
ESM1b_score_mean,66
MisFit_D_score_max,66
AlphaMissense_score_std,62
ESM1b_score_std,62
VEST4_score_max,59
ESM1b_score_max,58
GERP_92_mammals,58
DANN_score,58
BayesDel_noAF_score,58
MutationAssessor_score_max,57
Eigen-phred_coding,56
GERP++_RS,55
ESM1b_score_count,46
AlphaMissense_rankscore,46
MutPred2_score_max,44
MetaSVM_score,44
VEST4_score_std,44
MutationTaster_score_std,44
popEVE_score_mean,44
MetaLR_score,43
Polyphen2_HDIV_score_count,40
VEST4_score_count,34
AlphaMissense_score_mean,31
AlphaMissense_score_count,31
phastCons100way_vertebrate,30
Eigen-raw_coding,27
VEST4_score_mean,26
popEVE_score_max,26
REVEL_score_max,25
SIFT_score_std,23
SIFT_score_mean,22
Polyphen2_HDIV_score_std,21
MutPred2_score_std,17
gnomAD4.1_joint_AF_was_na,17
phastCons470way_mammalian,17
Polyphen2_HDIV_score_mean,16
MutationAssessor_score_count,16
MutPred2_score_mean,16
AlphaMissense_score_max,14
SIFT_score_count,12
MANE_Empty,12
REVEL_score_count,10
popEVE_score_std,10
Polyphen2_HDIV_score_max,10
MetaLR_score_was_na,9
MisFit_D_score_count,9
SIFT_score_max,9
AlphaMissense_rankscore_was_na,8
REVEL_score_std,7
popEVE_score_count,6
MANE_Select,6
GERP_92_mammals_was_na,5
MutationAssessor_score_mean,4
dbNSFP_POPMAX_AF_was_na,3
REVEL_score_mean,2
fathmm-XF_coding_score_was_na,2
BayesDel_addAF_score_was_na,2
MutationAssessor_score_std,2
MisFit_D_score_std,1
Eigen-phred_coding_was_na,1
gMVP_score_std,0
gMVP_score_mean,0
Eigen-raw_coding_was_na,0
gMVP_score_count,0
BayesDel_noAF_score_was_na,0
M-CAP_score_was_na,0
MetaSVM_score_was_na,0
MutPred2_score_count,0
DANN_score_was_na,0
MisFit_D_score_mean,0
GERP++_RS_was_na,0
phastCons470way_mammalian_was_na,0
phyloP470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
MANE_Both,0
MANE_Plus_Clinical,0
