feature,importance
CADD_phred,0.37701643
AlphaMissense_rankscore_was_na,0.10881296
MutationTaster_score_mean,0.08128549
MANE_Empty,0.03942676
M-CAP_score,0.022255382
BayesDel_addAF_score,0.021338025
gMVP_score_max,0.020649955
AlphaMissense_rankscore,0.019531947
AlphaMissense_score_mean,0.01726607
MutationAssessor_score_count,0.016703257
gnomAD4.1_joint_AF,0.015871612
MANE_Plus_Clinical,0.014215104
MutationTaster_score_max,0.014026042
MutPred2_score_max,0.012118508
AlphaMissense_score_std,0.010005692
gnomAD4.1_joint_POPMAX_AF,0.009881252
MetaLR_score_was_na,0.008811938
MisFit_D_score_count,0.008386917
dbNSFP_POPMAX_AF,0.008312389
Eigen-phred_coding,0.008060083
AlphaMissense_score_count,0.007313772
MutationTaster_score_count,0.0069661546
popEVE_score_mean,0.0065149604
ESM1b_score_count,0.0058864644
ESM1b_score_max,0.0058848863
MutPred2_score_std,0.00538604
VEST4_score_count,0.0053495374
MisFit_D_score_max,0.0053034853
Polyphen2_HDIV_score_max,0.005034175
MetaLR_score,0.004845864
gMVP_score_count,0.004530058
BayesDel_noAF_score,0.004471824
SIFT_score_std,0.004465279
REVEL_score_std,0.0043125274
VEST4_score_mean,0.0041704723
VEST4_score_max,0.0040793135
gnomAD4.1_joint_AF_was_na,0.003953106
fathmm-XF_coding_score,0.0039272713
MisFit_D_score_std,0.0034899819
MutPred2_score_mean,0.00347014
popEVE_score_max,0.003379976
Eigen-raw_coding,0.0031815523
fathmm-XF_coding_score_was_na,0.0029945092
ESM1b_score_mean,0.0029889399
phyloP470way_mammalian,0.002913222
Polyphen2_HDIV_score_std,0.002871025
VEST4_score_std,0.0028003296
MutationTaster_score_std,0.00274449
phastCons100way_vertebrate,0.0026861744
popEVE_score_std,0.0026710373
GERP++_RS,0.0025633303
Polyphen2_HDIV_score_count,0.0025475326
phyloP100way_vertebrate,0.0024951012
DANN_score,0.0024474813
ESM1b_score_std,0.0024265738
SIFT_score_mean,0.0024221106
REVEL_score_max,0.0023560922
GERP_92_mammals,0.0022898836
MetaSVM_score,0.002266025
MutationAssessor_score_std,0.0022599075
SIFT_score_max,0.0022220397
MutationAssessor_score_max,0.0019710336
dbNSFP_POPMAX_AF_was_na,0.0015981366
SIFT_score_count,0.0014818722
REVEL_score_count,0.001423088
Polyphen2_HDIV_score_mean,0.001418492
phastCons470way_mammalian,0.001227761
popEVE_score_count,0.00086940685
GERP_92_mammals_was_na,0.00071167503
MANE_Select,0.000440067
REVEL_score_mean,0.0
M-CAP_score_was_na,0.0
MetaSVM_score_was_na,0.0
gMVP_score_std,0.0
gMVP_score_mean,0.0
Eigen-raw_coding_was_na,0.0
Eigen-phred_coding_was_na,0.0
BayesDel_noAF_score_was_na,0.0
BayesDel_addAF_score_was_na,0.0
AlphaMissense_score_max,0.0
MutPred2_score_count,0.0
MutationAssessor_score_mean,0.0
DANN_score_was_na,0.0
GERP++_RS_was_na,0.0
MisFit_D_score_mean,0.0
phyloP470way_mammalian_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Both,0.0
