feature,importance
DANN_score,257
phyloP470way_mammalian,240
phyloP100way_vertebrate,209
dbNSFP_POPMAX_AF,191
ESM1b_score_mean,166
GERP++_RS,156
ESM1b_score_std,131
popEVE_score_mean,126
ESM1b_score_count,124
AlphaMissense_score_std,115
MutPred2_score_max,108
AlphaMissense_score_count,107
gnomAD4.1_joint_AF,103
GERP_92_mammals,101
ESM1b_score_max,100
gnomAD4.1_joint_POPMAX_AF,96
AlphaMissense_score_mean,95
AlphaMissense_rankscore,87
MANE_Empty,73
popEVE_score_max,73
MutPred2_score_mean,52
phastCons470way_mammalian,46
AlphaMissense_rankscore_was_na,44
AlphaMissense_score_max,44
popEVE_score_std,39
phastCons100way_vertebrate,35
MutPred2_score_std,25
popEVE_score_count,17
dbNSFP_POPMAX_AF_was_na,11
gnomAD4.1_joint_AF_was_na,9
MANE_Select,8
GERP_92_mammals_was_na,6
MutPred2_score_count,4
MANE_Both,2
GERP++_RS_was_na,0
DANN_score_was_na,0
phyloP470way_mammalian_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
MANE_Plus_Clinical,0
