feature,importance
ESM1b_score_mean,0.38381234
MANE_Empty,0.17734641
popEVE_score_mean,0.059960358
AlphaMissense_rankscore_was_na,0.056051806
MutPred2_score_mean,0.03705796
AlphaMissense_score_mean,0.03214297
MANE_Select,0.025462402
MutPred2_score_count,0.024485884
phyloP470way_mammalian,0.020388596
AlphaMissense_score_count,0.014839094
AlphaMissense_rankscore,0.014534376
gnomAD4.1_joint_POPMAX_AF,0.014423786
dbNSFP_POPMAX_AF,0.012137865
gnomAD4.1_joint_AF,0.011099975
AlphaMissense_score_std,0.010494211
DANN_score,0.010268501
popEVE_score_count,0.009209984
phyloP100way_vertebrate,0.009201346
popEVE_score_std,0.009130132
MutPred2_score_max,0.007870124
MutPred2_score_std,0.007070345
ESM1b_score_count,0.006823262
popEVE_score_max,0.0067286077
phastCons470way_mammalian,0.0064662304
gnomAD4.1_joint_AF_was_na,0.005298074
ESM1b_score_max,0.004860035
ESM1b_score_std,0.0042286445
GERP_92_mammals,0.0041684797
phastCons100way_vertebrate,0.0035044549
GERP++_RS,0.0034694734
GERP_92_mammals_was_na,0.0033219517
dbNSFP_POPMAX_AF_was_na,0.0027568769
MANE_Both,0.0013855163
AlphaMissense_score_max,0.0
GERP++_RS_was_na,0.0
DANN_score_was_na,0.0
phyloP470way_mammalian_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Plus_Clinical,0.0
