feature,importance
phyloP470way_mammalian,517
GERP++_RS,482
phyloP100way_vertebrate,468
GERP_92_mammals,383
dbNSFP_POPMAX_AF,287
gnomAD4.1_joint_AF,194
phastCons100way_vertebrate,193
gnomAD4.1_joint_POPMAX_AF,184
phastCons470way_mammalian,78
MANE_Empty,50
gnomAD4.1_joint_AF_was_na,43
MANE_Select,40
MANE_Both,29
dbNSFP_POPMAX_AF_was_na,29
GERP_92_mammals_was_na,23
GERP++_RS_was_na,0
phyloP470way_mammalian_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
MANE_Plus_Clinical,0
