feature,importance
MANE_Select,0.4306903
MANE_Empty,0.121888354
phyloP470way_mammalian,0.085241705
gnomAD4.1_joint_AF,0.08180331
gnomAD4.1_joint_POPMAX_AF,0.07162066
gnomAD4.1_joint_AF_was_na,0.037699256
dbNSFP_POPMAX_AF,0.025926528
GERP_92_mammals_was_na,0.021303438
phastCons100way_vertebrate,0.019930147
GERP++_RS,0.018482005
phyloP100way_vertebrate,0.016177187
phastCons470way_mammalian,0.015995702
GERP_92_mammals,0.015686378
dbNSFP_POPMAX_AF_was_na,0.014329582
MANE_Plus_Clinical,0.013155324
MANE_Both,0.0100702075
GERP++_RS_was_na,0.0
phastCons470way_mammalian_was_na,0.0
phyloP470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
