feature,importance
CADD_phred,0.57100147
DANN_score,0.2030403
AlphaMissense_rankscore,0.07667595
ESM1b_score_std,0.025388125
AlphaMissense_score_std,0.023808032
gnomAD4.1_joint_POPMAX_AF,0.023303643
ESM1b_score_mean,0.022804365
fathmm-XF_coding_score,0.021472132
dbNSFP_POPMAX_AF_was_na,0.007710066
phyloP470way_mammalian,0.0071062804
AlphaMissense_score_mean,0.0050185635
BayesDel_addAF_score_was_na,0.0032059357
dbNSFP_POPMAX_AF,0.002406116
GERP_92_mammals,0.0022236544
phastCons100way_vertebrate,0.0020551078
AlphaMissense_rankscore_was_na,0.001950553
MANE_Empty,0.00051538134
ESM1b_score_max,0.00022832165
ESM1b_score_count,8.595935e-05
Eigen-raw_coding_was_na,0.0
Eigen-raw_coding,0.0
Eigen-phred_coding_was_na,0.0
Eigen-phred_coding,0.0
M-CAP_score,0.0
M-CAP_score_was_na,0.0
BayesDel_noAF_score_was_na,0.0
BayesDel_noAF_score,0.0
MetaLR_score,0.0
BayesDel_addAF_score,0.0
MetaSVM_score_was_na,0.0
MetaSVM_score,0.0
REVEL_score_std,0.0
MetaLR_score_was_na,0.0
REVEL_score_max,0.0
REVEL_score_mean,0.0
REVEL_score_count,0.0
AlphaMissense_score_max,0.0
MutPred2_score_mean,0.0
MutPred2_score_max,0.0
popEVE_score_count,0.0
popEVE_score_max,0.0
popEVE_score_mean,0.0
MutPred2_score_std,0.0
popEVE_score_std,0.0
MutPred2_score_count,0.0
gMVP_score_max,0.0
gMVP_score_std,0.0
fathmm-XF_coding_score_was_na,0.0
gMVP_score_count,0.0
AlphaMissense_score_count,0.0
gMVP_score_mean,0.0
MutationAssessor_score_mean,0.0
MutationAssessor_score_max,0.0
MutationAssessor_score_count,0.0
SIFT_score_std,0.0
SIFT_score_mean,0.0
SIFT_score_max,0.0
SIFT_score_count,0.0
MutationAssessor_score_std,0.0
Polyphen2_HDIV_score_std,0.0
MutationTaster_score_count,0.0
MutationTaster_score_max,0.0
MutationTaster_score_mean,0.0
MutationTaster_score_std,0.0
Polyphen2_HDIV_score_count,0.0
Polyphen2_HDIV_score_max,0.0
Polyphen2_HDIV_score_mean,0.0
MisFit_D_score_mean,0.0
MisFit_D_score_max,0.0
MisFit_D_score_count,0.0
VEST4_score_std,0.0
VEST4_score_mean,0.0
VEST4_score_max,0.0
VEST4_score_count,0.0
MisFit_D_score_std,0.0
phyloP100way_vertebrate,0.0
phastCons470way_mammalian,0.0
GERP++_RS,0.0
GERP_92_mammals_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
gnomAD4.1_joint_AF_was_na,0.0
gnomAD4.1_joint_AF,0.0
MANE_Select,0.0
