feature,importance
DANN_score,291
ESM1b_score_mean,219
phyloP100way_vertebrate,193
ESM1b_score_max,115
ESM1b_score_std,110
gnomAD4.1_joint_AF,110
phyloP470way_mammalian,106
gnomAD4.1_joint_POPMAX_AF,97
AlphaMissense_rankscore,90
AlphaMissense_score_mean,66
MutPred2_score_max,60
GERP++_RS,44
popEVE_score_max,35
AlphaMissense_score_std,33
MANE_Empty,31
phastCons100way_vertebrate,29
GERP_92_mammals,27
phastCons470way_mammalian,26
dbNSFP_POPMAX_AF,24
ESM1b_score_count,20
AlphaMissense_score_count,18
dbNSFP_POPMAX_AF_was_na,17
AlphaMissense_score_max,13
MANE_Select,4
gnomAD4.1_joint_AF_was_na,3
GERP_92_mammals_was_na,3
AlphaMissense_rankscore_was_na,2
MutPred2_score_count,2
popEVE_score_std,0
MutPred2_score_std,0
MutPred2_score_mean,0
popEVE_score_mean,0
popEVE_score_count,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
