feature,importance
DANN_score,0.5032688
AlphaMissense_rankscore,0.08610774
GERP++_RS,0.06574372
MutPred2_score_max,0.055654462
phyloP100way_vertebrate,0.03560721
phastCons100way_vertebrate,0.03470435
ESM1b_score_mean,0.031808235
gnomAD4.1_joint_POPMAX_AF,0.031735025
gnomAD4.1_joint_AF,0.0301663
GERP_92_mammals_was_na,0.026573278
ESM1b_score_std,0.025821855
phyloP470way_mammalian,0.019565813
MANE_Empty,0.018033793
dbNSFP_POPMAX_AF,0.015620697
dbNSFP_POPMAX_AF_was_na,0.009507968
ESM1b_score_max,0.005451182
GERP_92_mammals,0.0024486533
AlphaMissense_score_mean,0.0021808934
AlphaMissense_rankscore_was_na,0.0
popEVE_score_std,0.0
popEVE_score_max,0.0
popEVE_score_mean,0.0
MutPred2_score_std,0.0
MutPred2_score_mean,0.0
MutPred2_score_count,0.0
ESM1b_score_count,0.0
AlphaMissense_score_max,0.0
AlphaMissense_score_count,0.0
AlphaMissense_score_std,0.0
popEVE_score_count,0.0
phastCons470way_mammalian,0.0
gnomAD4.1_joint_AF_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Select,0.0
