feature,importance
BayesDel_addAF_score,217
dbNSFP_POPMAX_AF,183
CADD_phred,172
MutationTaster_score_mean,153
MutationTaster_score_max,144
ESM1b_score_count,123
gMVP_score_max,100
BayesDel_noAF_score,88
gnomAD4.1_joint_POPMAX_AF,84
fathmm-XF_coding_score,79
dbNSFP_POPMAX_AF_was_na,62
phyloP100way_vertebrate,61
MutationAssessor_score_max,58
gnomAD4.1_joint_AF_was_na,54
popEVE_score_count,54
gnomAD4.1_joint_AF,53
ESM1b_score_mean,50
VEST4_score_max,45
VEST4_score_mean,43
MetaLR_score,43
AlphaMissense_score_mean,43
popEVE_score_mean,39
M-CAP_score,38
VEST4_score_std,38
phastCons100way_vertebrate,38
GERP++_RS,36
REVEL_score_max,35
DANN_score,34
MisFit_D_score_max,33
MutationAssessor_score_count,32
popEVE_score_max,31
MisFit_D_score_count,31
VEST4_score_count,29
MutationTaster_score_count,28
MutPred2_score_max,28
MutPred2_score_mean,28
ESM1b_score_max,28
ESM1b_score_std,28
Polyphen2_HDIV_score_count,28
GERP_92_mammals,27
AlphaMissense_score_count,25
MANE_Select,24
phyloP470way_mammalian,22
MetaSVM_score,22
gMVP_score_count,20
Eigen-phred_coding,20
MANE_Empty,20
Polyphen2_HDIV_score_std,19
MetaLR_score_was_na,18
BayesDel_addAF_score_was_na,18
MisFit_D_score_mean,17
fathmm-XF_coding_score_was_na,17
Eigen-phred_coding_was_na,14
MutationTaster_score_std,14
M-CAP_score_was_na,13
AlphaMissense_score_max,13
Polyphen2_HDIV_score_mean,13
Eigen-raw_coding,13
REVEL_score_count,12
SIFT_score_mean,12
MutPred2_score_count,12
SIFT_score_max,12
AlphaMissense_rankscore_was_na,11
popEVE_score_std,11
MutationAssessor_score_mean,11
gMVP_score_mean,10
AlphaMissense_rankscore,10
AlphaMissense_score_std,9
MANE_Plus_Clinical,8
phastCons470way_mammalian,7
SIFT_score_std,7
Polyphen2_HDIV_score_max,6
SIFT_score_count,4
MANE_Both,3
phyloP470way_mammalian_was_na,3
GERP++_RS_was_na,3
MutationAssessor_score_std,2
MisFit_D_score_std,2
MutPred2_score_std,2
REVEL_score_std,1
REVEL_score_mean,1
GERP_92_mammals_was_na,1
MetaSVM_score_was_na,0
gMVP_score_std,0
Eigen-raw_coding_was_na,0
BayesDel_noAF_score_was_na,0
DANN_score_was_na,0
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
