feature,importance
BayesDel_addAF_score,0.5956357
MutationTaster_score_mean,0.04731108
MutationTaster_score_max,0.047054775
MetaLR_score_was_na,0.03536268
MutPred2_score_count,0.022645675
gMVP_score_mean,0.022398848
dbNSFP_POPMAX_AF_was_na,0.016128594
CADD_phred,0.015947204
gnomAD4.1_joint_AF_was_na,0.011301523
AlphaMissense_rankscore_was_na,0.010043304
BayesDel_addAF_score_was_na,0.009819187
popEVE_score_count,0.009095763
gnomAD4.1_joint_POPMAX_AF,0.008042952
MANE_Select,0.0071488265
fathmm-XF_coding_score_was_na,0.0071479906
dbNSFP_POPMAX_AF,0.0070153284
AlphaMissense_score_mean,0.0066797803
gMVP_score_max,0.005324591
gMVP_score_count,0.0051884786
ESM1b_score_mean,0.0050033987
Eigen-phred_coding_was_na,0.004876947
MisFit_D_score_mean,0.0042968006
ESM1b_score_count,0.0042543765
MANE_Empty,0.0040521673
MutPred2_score_mean,0.0032269985
REVEL_score_count,0.0031448258
MutationAssessor_score_max,0.0028655932
phastCons100way_vertebrate,0.0024545726
MutationAssessor_score_count,0.0024543062
gnomAD4.1_joint_AF,0.0024530317
AlphaMissense_score_count,0.0022790637
VEST4_score_count,0.0022043744
MutationTaster_score_count,0.0020979869
phyloP100way_vertebrate,0.0020889498
VEST4_score_max,0.0020685238
BayesDel_noAF_score,0.0020019354
Polyphen2_HDIV_score_count,0.00199303
SIFT_score_count,0.0019812784
MisFit_D_score_max,0.0019557904
MutPred2_score_max,0.0019556275
MisFit_D_score_count,0.0019367612
fathmm-XF_coding_score,0.0018859935
VEST4_score_std,0.0018415775
VEST4_score_mean,0.0018028504
Polyphen2_HDIV_score_std,0.0017879921
MANE_Plus_Clinical,0.0017235473
popEVE_score_max,0.001677007
popEVE_score_mean,0.0016747956
REVEL_score_max,0.0016477375
AlphaMissense_rankscore,0.0016366749
M-CAP_score,0.0016355579
Polyphen2_HDIV_score_mean,0.0015675047
Eigen-raw_coding,0.0015139238
M-CAP_score_was_na,0.0014895959
GERP++_RS,0.0014772457
popEVE_score_std,0.0014672973
Eigen-phred_coding,0.0014270411
MetaLR_score,0.0013877683
Polyphen2_HDIV_score_max,0.0013401757
MutPred2_score_std,0.00133413
phyloP470way_mammalian_was_na,0.0013308077
phastCons470way_mammalian,0.0013292066
DANN_score,0.0012532137
SIFT_score_max,0.0012265191
ESM1b_score_std,0.0012045391
MetaSVM_score,0.0011914957
AlphaMissense_score_std,0.0011882092
ESM1b_score_max,0.0011786046
phyloP470way_mammalian,0.0011262816
SIFT_score_std,0.0011237719
REVEL_score_std,0.0011105714
MutationTaster_score_std,0.0010569493
SIFT_score_mean,0.0010532715
GERP_92_mammals,0.0010383797
AlphaMissense_score_max,0.0009570808
MutationAssessor_score_std,0.00075220154
GERP_92_mammals_was_na,0.0006219925
gMVP_score_std,0.0
MetaSVM_score_was_na,0.0
REVEL_score_mean,0.0
Eigen-raw_coding_was_na,0.0
BayesDel_noAF_score_was_na,0.0
DANN_score_was_na,0.0
MutationAssessor_score_mean,0.0
phastCons100way_vertebrate_was_na,0.0
MisFit_D_score_std,0.0
GERP++_RS_was_na,0.0
phastCons470way_mammalian_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Both,0.0
