feature,importance
dbNSFP_POPMAX_AF,220
DANN_score,200
ESM1b_score_count,183
MutPred2_score_max,171
ESM1b_score_mean,138
gnomAD4.1_joint_POPMAX_AF,137
AlphaMissense_score_mean,135
phyloP100way_vertebrate,135
MutPred2_score_mean,132
MutPred2_score_count,113
ESM1b_score_std,112
gnomAD4.1_joint_AF,112
MANE_Empty,109
phyloP470way_mammalian,109
popEVE_score_max,96
popEVE_score_count,91
AlphaMissense_score_std,81
GERP_92_mammals,73
AlphaMissense_rankscore_was_na,70
gnomAD4.1_joint_AF_was_na,70
popEVE_score_mean,67
AlphaMissense_score_count,67
GERP++_RS,60
AlphaMissense_rankscore,48
ESM1b_score_max,45
dbNSFP_POPMAX_AF_was_na,44
phastCons100way_vertebrate,40
MANE_Select,32
AlphaMissense_score_max,24
phastCons470way_mammalian,16
phyloP470way_mammalian_was_na,15
MANE_Plus_Clinical,14
popEVE_score_std,12
MutPred2_score_std,9
DANN_score_was_na,9
GERP++_RS_was_na,7
GERP_92_mammals_was_na,2
MANE_Both,1
phastCons470way_mammalian_was_na,1
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
