feature,importance
ESM1b_score_mean,0.37288648
MANE_Empty,0.20553727
gnomAD4.1_joint_POPMAX_AF,0.08207009
MutPred2_score_count,0.04185178
gnomAD4.1_joint_AF_was_na,0.038456056
AlphaMissense_rankscore_was_na,0.03377983
MutPred2_score_max,0.032243174
MutPred2_score_mean,0.026453516
AlphaMissense_score_mean,0.023494588
dbNSFP_POPMAX_AF_was_na,0.022066321
dbNSFP_POPMAX_AF,0.021378065
DANN_score,0.013508626
popEVE_score_count,0.012626518
MANE_Select,0.011637064
gnomAD4.1_joint_AF,0.0056706085
AlphaMissense_rankscore,0.0046775136
phyloP100way_vertebrate,0.003832471
GERP++_RS_was_na,0.0037005495
MANE_Plus_Clinical,0.0035472156
AlphaMissense_score_std,0.003454513
phyloP470way_mammalian,0.0032597363
ESM1b_score_count,0.0030071894
AlphaMissense_score_count,0.002714453
popEVE_score_max,0.002643785
DANN_score_was_na,0.0024710947
phastCons100way_vertebrate,0.0022259825
popEVE_score_mean,0.0021828308
phyloP470way_mammalian_was_na,0.0020538017
phastCons470way_mammalian,0.0019963433
ESM1b_score_std,0.0019332233
GERP_92_mammals,0.0017987072
GERP_92_mammals_was_na,0.0017429998
GERP++_RS,0.001636424
AlphaMissense_score_max,0.0016162323
popEVE_score_std,0.0015473856
ESM1b_score_max,0.0015338544
MANE_Both,0.0014292548
MutPred2_score_std,0.0013343705
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
phastCons470way_mammalian_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
