feature,importance
phyloP470way_mammalian,488
phyloP100way_vertebrate,392
dbNSFP_POPMAX_AF,350
GERP++_RS,331
GERP_92_mammals,329
gnomAD4.1_joint_POPMAX_AF,261
gnomAD4.1_joint_AF,236
phastCons100way_vertebrate,140
MANE_Empty,128
dbNSFP_POPMAX_AF_was_na,83
gnomAD4.1_joint_AF_was_na,58
GERP_92_mammals_was_na,57
phastCons470way_mammalian,43
MANE_Both,28
phyloP470way_mammalian_was_na,25
GERP++_RS_was_na,24
MANE_Select,19
MANE_Plus_Clinical,8
phastCons100way_vertebrate_was_na,0
phyloP100way_vertebrate_was_na,0
phastCons470way_mammalian_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
