feature,importance
gnomAD4.1_joint_AF_was_na,0.19146942
dbNSFP_POPMAX_AF,0.18700597
MANE_Empty,0.14200106
dbNSFP_POPMAX_AF_was_na,0.12536566
phastCons470way_mammalian,0.06664256
GERP++_RS,0.055758763
gnomAD4.1_joint_POPMAX_AF,0.055284772
phyloP100way_vertebrate,0.040350366
gnomAD4.1_joint_AF,0.031117057
GERP++_RS_was_na,0.027947787
phastCons100way_vertebrate,0.021333117
GERP_92_mammals_was_na,0.01658875
phyloP470way_mammalian,0.010442863
MANE_Select,0.0072589917
GERP_92_mammals,0.005593913
MANE_Plus_Clinical,0.005266548
phyloP470way_mammalian_was_na,0.0050582057
MANE_Both,0.0049711424
phastCons470way_mammalian_was_na,0.0005430408
phastCons100way_vertebrate_was_na,0.0
phyloP100way_vertebrate_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
