feature,importance
CADD_phred,0.29792303
gnomAD4.1_joint_POPMAX_AF,0.11426692
dbNSFP_POPMAX_AF_was_na,0.079459965
gnomAD4.1_joint_AF_was_na,0.078765556
BayesDel_addAF_score_was_na,0.06320723
dbNSFP_POPMAX_AF,0.04303093
gMVP_score_max,0.03589259
VEST4_score_max,0.030691426
BayesDel_addAF_score,0.028643876
M-CAP_score,0.017733132
MANE_Empty,0.016900066
ESM1b_score_count,0.016335482
AlphaMissense_score_std,0.016319457
MutationTaster_score_max,0.012965875
MutationAssessor_score_max,0.012870498
BayesDel_noAF_score,0.012711544
MutationTaster_score_mean,0.012155795
fathmm-XF_coding_score,0.010715051
popEVE_score_mean,0.009720898
VEST4_score_mean,0.009059469
MutPred2_score_max,0.006542368
ESM1b_score_mean,0.006241571
VEST4_score_std,0.00612058
ESM1b_score_max,0.0058383546
popEVE_score_std,0.0053126407
AlphaMissense_rankscore,0.0052350056
Polyphen2_HDIV_score_max,0.0050293775
MetaLR_score,0.0049262866
MisFit_D_score_max,0.004837592
REVEL_score_max,0.0041025975
phyloP470way_mammalian,0.0039101965
gnomAD4.1_joint_AF,0.0035080032
MutationTaster_score_std,0.0031749445
SIFT_score_mean,0.0029216972
SIFT_score_std,0.0022100825
GERP_92_mammals,0.0019254592
DANN_score,0.0016461146
MutationTaster_score_count,0.0015594242
popEVE_score_max,0.0012059484
Eigen-phred_coding,0.0011297744
phyloP100way_vertebrate,0.0011288446
gMVP_score_count,0.0008151178
ESM1b_score_std,0.000599149
phastCons100way_vertebrate,0.0002879217
fathmm-XF_coding_score_was_na,0.00026594452
GERP++_RS,0.00015620039
REVEL_score_count,0.0
REVEL_score_mean,0.0
REVEL_score_std,0.0
M-CAP_score_was_na,0.0
MetaSVM_score,0.0
MetaSVM_score_was_na,0.0
BayesDel_noAF_score_was_na,0.0
MetaLR_score_was_na,0.0
Eigen-raw_coding,0.0
Eigen-phred_coding_was_na,0.0
Eigen-raw_coding_was_na,0.0
MutationAssessor_score_count,0.0
MutPred2_score_std,0.0
popEVE_score_count,0.0
DANN_score_was_na,0.0
SIFT_score_count,0.0
AlphaMissense_score_mean,0.0
AlphaMissense_score_max,0.0
AlphaMissense_score_count,0.0
AlphaMissense_rankscore_was_na,0.0
gMVP_score_mean,0.0
gMVP_score_std,0.0
MutPred2_score_count,0.0
MutPred2_score_mean,0.0
MutationAssessor_score_std,0.0
MutationAssessor_score_mean,0.0
SIFT_score_max,0.0
MisFit_D_score_count,0.0
Polyphen2_HDIV_score_count,0.0
Polyphen2_HDIV_score_mean,0.0
Polyphen2_HDIV_score_std,0.0
VEST4_score_count,0.0
MisFit_D_score_std,0.0
MisFit_D_score_mean,0.0
GERP++_RS_was_na,0.0
GERP_92_mammals_was_na,0.0
phyloP470way_mammalian_was_na,0.0
phastCons470way_mammalian,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Select,0.0
