feature,importance
DANN_score,400
dbNSFP_POPMAX_AF,222
MutPred2_score_max,216
ESM1b_score_mean,198
AlphaMissense_rankscore,197
AlphaMissense_score_std,178
gnomAD4.1_joint_POPMAX_AF,173
phyloP470way_mammalian,154
gnomAD4.1_joint_AF,138
ESM1b_score_max,135
ESM1b_score_std,124
GERP++_RS,115
phyloP100way_vertebrate,115
popEVE_score_mean,74
MANE_Empty,72
popEVE_score_max,70
GERP_92_mammals,70
ESM1b_score_count,56
dbNSFP_POPMAX_AF_was_na,52
AlphaMissense_score_mean,49
gnomAD4.1_joint_AF_was_na,40
phastCons100way_vertebrate,39
phastCons470way_mammalian,31
MANE_Select,23
AlphaMissense_score_count,12
popEVE_score_std,9
AlphaMissense_rankscore_was_na,6
phyloP470way_mammalian_was_na,6
popEVE_score_count,3
AlphaMissense_score_max,0
MutPred2_score_std,0
MutPred2_score_count,0
MutPred2_score_mean,0
DANN_score_was_na,0
GERP_92_mammals_was_na,0
GERP++_RS_was_na,0
gnomAD4.1_joint_POPMAX_AF_was_na,0
