feature,importance
ESM1b_score_mean,0.3036802
gnomAD4.1_joint_AF_was_na,0.2606931
gnomAD4.1_joint_POPMAX_AF,0.10381169
DANN_score,0.046019863
dbNSFP_POPMAX_AF_was_na,0.037013892
AlphaMissense_score_mean,0.035665203
MANE_Empty,0.029817052
dbNSFP_POPMAX_AF,0.022814685
phyloP470way_mammalian_was_na,0.018803325
AlphaMissense_rankscore,0.017609647
MutPred2_score_max,0.013907947
gnomAD4.1_joint_AF,0.013752009
AlphaMissense_score_std,0.013584662
popEVE_score_mean,0.012655199
phyloP470way_mammalian,0.011269497
popEVE_score_max,0.008610202
AlphaMissense_score_count,0.008332867
ESM1b_score_std,0.007591826
phyloP100way_vertebrate,0.0060586836
ESM1b_score_max,0.0060221003
ESM1b_score_count,0.004874214
GERP++_RS,0.00408417
DANN_score_was_na,0.003905805
popEVE_score_std,0.0037789883
phastCons100way_vertebrate,0.0034201564
GERP_92_mammals,0.0013264734
phastCons470way_mammalian,0.000896586
AlphaMissense_score_max,0.0
AlphaMissense_rankscore_was_na,0.0
popEVE_score_count,0.0
MutPred2_score_std,0.0
MutPred2_score_count,0.0
MutPred2_score_mean,0.0
GERP++_RS_was_na,0.0
GERP_92_mammals_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Select,0.0
