feature,importance
gnomAD4.1_joint_AF_was_na,0.59830415
dbNSFP_POPMAX_AF,0.099535465
MANE_Empty,0.09930325
dbNSFP_POPMAX_AF_was_na,0.049844664
gnomAD4.1_joint_POPMAX_AF,0.033817172
phyloP100way_vertebrate,0.02172516
phyloP470way_mammalian,0.019587887
phastCons470way_mammalian,0.018080017
GERP++_RS,0.016189221
gnomAD4.1_joint_AF,0.01257563
phastCons100way_vertebrate,0.01130873
phyloP470way_mammalian_was_na,0.008780028
GERP_92_mammals,0.0057690786
GERP_92_mammals_was_na,0.0051795677
GERP++_RS_was_na,0.0
gnomAD4.1_joint_POPMAX_AF_was_na,0.0
MANE_Select,0.0
